from_state,to_state,count
P_M_PER_DES,P_A_REC_FAV,23
P_M_PER_FAV,P_M_REC_NEU,23
P_M_REC_NEU,P_A_PER_NEU,23
P_A_PER_NEU,P_D_PER_NEU,22
P_D_PER_DES,P_A_PER_NEU,22
P_D_REC_FAV,P_D_PAS_DES,22
P_M_PAS_NEU,P_D_PER_DES,22
P_A_PAS_DES,P_M_REC_FAV,21
P_D_PER_FAV,P_A_PAS_NEU,21
P_D_PER_NEU,P_A_REC_NEU,21
P_M_PAS_NEU,P_D_PAS_FAV,21
P_A_PER_FAV,P_M_REC_NEU,20
P_A_PER_NEU,P_D_PER_FAV,20
P_A_PER_NEU,P_M_REC_FAV,20
P_D_PAS_DES,P_A_PAS_NEU,20
P_D_PER_DES,P_M_PER_NEU,20
P_D_PER_NEU,P_A_PER_DES,20
P_M_PAS_DES,P_D_REC_NEU,20
P_M_PAS_NEU,P_D_REC_DES,20
P_A_FIN_FAV,P_A_PAS_NEU,19
P_A_PAS_DES,P_D_PER_FAV,19
P_A_REC_FAV,P_M_PER_FAV,19
P_D_PAS_DES,P_A_REC_DES,19
P_D_PER_NEU,P_D_REC_FAV,19
P_D_REC_FAV,P_M_PAS_DES,19
P_M_PAS_DES,P_A_PAS_NEU,19
P_M_PAS_FAV,P_M_PAS_NEU,19
P_M_PAS_NEU,P_A_PAS_DES,19
P_A_FIN_NEU,P_M_PER_DES,18
P_A_REC_NEU,P_A_REC_NEU,18
P_D_PER_NEU,P_A_PAS_NEU,18
P_D_PER_NEU,P_A_PER_FAV,18
P_M_PER_NEU,P_A_PER_FAV,18
P_M_REC_FAV,P_A_PAS_DES,18
P_A_FIN_NEU,P_M_REC_NEU,17
P_A_PAS_DES,P_M_PAS_NEU,17
P_A_PAS_FAV,P_D_PER_FAV,17
P_A_PAS_FAV,P_M_REC_DES,17
P_A_PER_FAV,P_A_FIN_FAV,17
P_D_REC_DES,P_D_PAS_FAV,17
P_M_PAS_DES,P_D_PER_NEU,17
P_M_PER_FAV,P_A_REC_DES,17
P_M_REC_DES,P_D_PER_FAV,17
P_M_REC_NEU,P_M_REC_NEU,17
P_A_FIN_DES,P_A_PER_NEU,16
P_A_PAS_FAV,P_A_PER_DES,16
P_A_PAS_NEU,P_D_PAS_DES,16
P_A_PAS_NEU,P_D_REC_DES,16
P_A_REC_DES,P_A_PAS_FAV,16
P_A_REC_FAV,P_D_PAS_FAV,16
P_D_PAS_FAV,P_M_REC_DES,16
P_D_PER_FAV,P_D_REC_NEU,16
P_M_REC_FAV,P_A_FIN_FAV,16
P_A_FIN_DES,P_M_REC_NEU,15
P_A_FIN_FAV,P_D_REC_NEU,15
P_A_FIN_NEU,P_A_PAS_FAV,15
P_A_FIN_NEU,P_A_PER_NEU,15
P_A_REC_FAV,P_A_PAS_DES,15
P_A_REC_FAV,P_D_PER_DES,15
P_D_PAS_DES,P_D_REC_NEU,15
P_D_PAS_NEU,P_D_REC_DES,15
P_D_PER_DES,P_A_REC_FAV,15
P_M_REC_FAV,P_D_REC_DES,15
P_A_FIN_NEU,P_D_PER_NEU,14
P_A_PAS_DES,P_D_PAS_NEU,14
P_A_REC_DES,P_A_FIN_NEU,14
P_D_PAS_NEU,P_A_PAS_DES,14
P_D_PER_NEU,P_M_PER_DES,14
P_D_REC_FAV,P_D_REC_DES,14
P_A_FIN_NEU,P_D_PER_FAV,13
P_A_PAS_NEU,P_A_REC_NEU,13
P_D_PAS_DES,P_A_PER_FAV,13
P_D_PAS_FAV,P_M_PAS_NEU,13
P_D_PAS_NEU,P_M_PAS_FAV,13
P_M_REC_DES,P_A_REC_DES,13
P_M_REC_NEU,P_M_PAS_DES,13
P_A_FIN_FAV,P_A_FIN_FAV,12
P_A_FIN_NEU,P_D_REC_NEU,12
P_A_PAS_FAV,P_M_PER_DES,12
P_A_REC_FAV,P_D_REC_FAV,12
P_D_PAS_FAV,P_A_PER_DES,12
P_D_PER_FAV,P_M_REC_NEU,12
P_D_PER_NEU,P_A_PER_NEU,12
P_D_PER_NEU,P_D_PER_FAV,12
P_D_REC_FAV,P_D_REC_FAV,12
P_D_REC_NEU,P_M_PER_NEU,12
P_M_PAS_NEU,P_A_REC_NEU,12
P_M_PAS_NEU,P_D_REC_FAV,12
P_M_PER_FAV,P_M_PER_NEU,12
P_A_FIN_DES,P_M_PER_NEU,11
P_A_FIN_FAV,P_D_PER_NEU,11
P_A_PAS_FAV,P_D_REC_FAV,11
P_A_PER_DES,P_A_FIN_NEU,11
P_A_PER_FAV,P_M_PER_NEU,11
P_D_PAS_FAV,P_M_PER_DES,11
P_D_PER_FAV,P_A_FIN_FAV,11
P_D_REC_FAV,P_A_PAS_DES,11
P_M_PAS_DES,P_A_FIN_NEU,11
P_M_PER_FAV,P_A_FIN_DES,11
P_M_PER_FAV,P_A_FIN_FAV,11
P_M_REC_DES,P_M_PAS_NEU,11
P_M_REC_FAV,P_D_PER_FAV,11
P_M_REC_NEU,P_D_PAS_DES,11
P_A_FIN_NEU,P_D_REC_FAV,10
P_A_PAS_DES,P_A_PAS_NEU,10
P_A_PAS_NEU,P_A_PAS_DES,10
P_A_PAS_NEU,P_D_PAS_FAV,10
P_A_REC_DES,P_D_PER_FAV,10
P_A_REC_FAV,P_M_REC_DES,10
P_A_REC_NEU,P_M_PAS_DES,10
P_D_PER_FAV,P_A_PER_NEU,10
P_D_REC_DES,P_A_PAS_FAV,10
P_M_PAS_DES,P_A_FIN_FAV,10
P_M_PAS_NEU,P_M_REC_DES,10
P_M_REC_DES,P_A_PER_FAV,10
P_M_REC_DES,P_D_PAS_NEU,10
P_M_REC_DES,P_D_REC_FAV,10
P_M_REC_FAV,P_D_REC_FAV,10
P_M_REC_FAV,P_M_REC_DES,10
P_A_PAS_DES,P_M_PER_FAV,9
P_A_PAS_NEU,P_A_PAS_FAV,9
P_A_PAS_NEU,P_M_PAS_FAV,9
P_A_PER_DES,P_A_REC_NEU,9
P_A_PER_NEU,P_M_PER_FAV,9
P_A_REC_DES,P_D_REC_FAV,9
