from_state,to_state,probability
P_D_PAS_DES,P_A_PER_DES,0.020380
S_A_PER_DES,P_M_PAS_FAV,0.020349
S_A_PER_DES,P_M_REC_FAV,0.020349
P_D_REC_DES,P_M_PER_DES,0.020221
P_M_PER_NEU,S_M_PER_DES,0.020000
S_D_PAS_NEU,P_A_PAS_DES,0.019920
S_M_REC_FAV,S_A_PAS_FAV,0.019761
P_D_PER_NEU,P_D_PAS_FAV,0.019731
P_D_PER_NEU,S_M_PAS_FAV,0.019731
P_D_PER_DES,P_A_PAS_FAV,0.019644
S_M_PAS_DES,P_M_PER_DES,0.019640
P_A_PER_DES,S_D_PER_DES,0.019608
P_D_PAS_NEU,P_A_PER_NEU,0.019556
P_M_PER_NEU,S_M_PER_NEU,0.019500
P_M_PER_FAV,P_D_PAS_DES,0.019218
S_M_REC_NEU,P_D_REC_FAV,0.019139
S_M_REC_NEU,S_D_PER_NEU,0.019139
P_D_PER_DES,S_D_PER_DES,0.019120
S_A_REC_FAV,P_M_REC_FAV,0.019108
P_A_FIN_NEU,S_D_REC_FAV,0.019064
S_A_REC_DES,P_D_PER_FAV,0.019048
P_D_PAS_FAV,P_A_PER_FAV,0.018786
